codigo,Estado en Web,articulo,descripcion,web,minimo,ultimoin,moneda,precio,familia,figaro,marca
CM-44.15,1,LIMA METALICA ZINGER 18cm,"Lima de uñas con saca cutícula.<br>
Marca ZINGER.<br>
Lima de 2 caras.<br>
Saca cutícula con capuchón protector.<br>
Presentación: blister individual, apto para exhibidor.<br>
Medidas: largo total 18cm. Lima: 9 cms.",349,12,,$,20,TOCADOR,LIMA METAL C/SACA CUTICULA 2-11,
CM-T2.1,1,TALADRO INALAMBRICO 12V,"Voltaje:12V<br>
2 Velocidades: 0-400/0-1250rpm<br>
Torque: 20 Nm<br>
Mandril:10mm ajuste automatico <br>
Posiciones de torque: 21+1+1<br>
Diseño liviano<br>
Incluye: 2 baterias 12 volt <br>
1 cargador de 2 hs<br>
Led<br>
Led en la bateria indicador de carga<br>
Voltaje del cargador:220-240V~50Hz<br>
Bolso con Accesorios",TDLI228120,2,,USD,77,TOTAL,TALADRO INALAMBRICOA 12V	TDLI228120,TOTAL
CM-T2.2,1,TALADRO INALAMBRICO 18V,"Voltaje 18 Volt<br>
2 velocidades: 0-400 / 0-1350 rpm<br>
Torque máx: 30Nm<br>
Mandril : 10m<br>
Pos torque: 18+1<br>
Con 2 baterías de Litio<br>
Incluye cargador 1hr<br>
Con luz led<br>
Led indicador de batería<br>
Incluye 13 accesorios<br>
En valija plástica",TDLI228180,2,,USD,132,TOTAL,TALADRO INALAMBRICO 18V	TDLI228180,TOTAL
CM-T2.4,1,ATORNILLADOR IMPACTO 18 V	TIDLI228181,"Voltaje de funcionamiento: 18V<br>
Velocidad sin carga: 0-2000RPM<br>
Impacto nominal: 0-2800IPM<br>
Fuerza de torsión máxima: 120NM<br>
Hex.collet: 1/4&quot; (6.35mm)<br>
Con luz led<br>
Indicador LED de energía de batería<br>
Tiempo de carga: 2 horas<br>
Voltios de carga: 220V-240V ~ 50 / 60Hz<br>
Con 2 baterías<br>
Con 48 piezas de accesorios.<br>
Valija plástica",,2,,USD,155,TOTAL,ATORNILLADOR IMPACTO 18 V	TIDLI228181,
CM-T2.5,2,ATORNILLADOR INALAMBRICO 4.8V	TD4486,"Voltaje de trabajo: 4.8V<br>
Velocidad sin carga: 180 rpm<br>
Control de Max.torque: 3.5 N.m<br>
Con luz de trabajo LED<br>
Indicador de energía de la batería<br>
Control de rotación de 2 sentidos .<br>
Con cargador de batería, tiempo estimado de carga : 5-7hr<br>
Con 17 unids 25mm Cr-V bits + Soporte<br>
Con soporte de broca magnética <br>
Con un taladro HSS de 6 piezas con vástago hexagonal / 1,5,2, 2,5.5,4,5 mm<br>
Presentación: set en blister",,2,,USD,26,TOTAL,ATORNILLADOR INALAMBRICO 4.8V	TD4486,
CM-T2.6,2,TALADRO PERCUTOR 650W,"Taladro con percutor<br>
Potencia: 650 W<br>
Velocidad sin carga: 0-3000rpm<br>
Capacidad del mandril:13mm<br>
Velocidad variable<br>
Reversa<br>
Percutor<br>
Empuñadura ergonómica SoftGrip",TG106136,2,,USD,40,TOTAL,TALADROA 650W PERCUTOR	TG106136,TOTAL
CM-T2.7,2,TALADRO 850W PERCUTOR	TG109136,"Taladro con percutor TOTAL<br>
Línea INDUSTRIAL<br>
Voltaje de funcionamiento: 220-240V ~ 50 / 60Hz<br>
Potencia de entrada: 850 W<br>
Velocidad sin carga: 0-2700 RPM<br>
Capacidad de taladrado máxima: 13mm<br>
Velocidad variable<br>
Giro en ambos sentidos avance / retroceso<br>
Función de martillo percutor<br>
Mango extra ajustable / removible de seguridad<br>
Profundímetro plástico",,2,,USD,51,TOTAL,TALADRO 850W PERCUTOR	TG109136,
CM-T2.9,1,TALADRO 650W + KIT HERRAM	THKTHP1012,"Juego de herramientas de 101 piezas<br>
Compuesto por:<br>
-- Taladro con percutor de 650W de potencia.<br>
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Voltaje y frecuencia de funcionamiento: 220-240V ~ 50 / 60Hz, <br>
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Portabrocas de 13 mm con llave incluida<br>
-- Martillo de uña de 8 Onzas (230g)<br>
-- Destornillador de paleta SL5.5 * 100 <br>
-- Destornillador phillips &nbsp;PH1 * 100 <br>
-- Pinza clásica con Alicate de 6&quot;&quot;<br>
-- Llave Inglesa ajustable de 6&quot;&quot;<br>
-- Mini nivel.<br>
-- Cinta métrica de acero de 3 metros<br>
-- Cutter trincheta <br>
-- Brocas helicoidales 5 piezas 2,3,4,5,6 mm<br>
-- Brocas para pared albañilería 5 piezas 4,5,6,8,10 mm<br>
-- Brocas para madera 4 piezas 4,5,6,8 mm<br>
-- 6 Unidades 1/4&quot;&quot; Socket Hexagonal 5mm 6mm 8mm 9mm 10mm 11mm<br>
-- 1 adaptador de zócalo de 4-6mm (25mm)<br>
-- 10 puntas de destornillador PH1, PH2, PZ1, PZ2, SL4, SL6, Hex4, Hex5, T20, T25<br>
-- Soporte magnético para puntas<br>
-- 30 Tornillos (10pcs * ST3.5,10pcs * ST4,10pcs * ST5)<br>
-- 30 piezas de tacos de plástico (10 piezas * 5 mm, 10 piezas * 6 mm, 10 piezas * 8 mm)<br>
Kit en valija plástica de seguridad",,2,1,USD,83,TOTAL,TALADRO 650W + KIT HERRAM	THKTHP1012,
CM-T2.11,2,AMOLADORA 800 W INDUST.	TG1081156,"Amoladora angular TOTAL de 800 W<br>
Línea INDUSTRIAL<br>
Voltaje / frecuencia de funcionamiento: 220-240V ~ 50 / 60Hz<br>
Potencia de entrada: 800W<br>
Velocidad sin carga: 11000 rpm<br>
Diámetro del disco: 115 mm<br>
Rosca del husillo: M14<br>
Con mango auxiliar<br>
Presentación: en caja",,2,,USD,43,TOTAL,AMOLADORA 800 W INDUST.	TG1081156,
CM-T2.14,1,AMOLADORA 2350W INDUST.	TG1262306,"Voltaje de funcionamiento: 220V-240V ~ 50 / 60Hz<br>
Potencia de entrada: 2600W<br>
Velocidad sin carga: 6200 rpm<br>
Diámetro del disco: 230 mm<br>
Rosca del husillo: M14<br>
Con mango auxiliar removible<br>
Presentación: en caja",,2,1,USD,131,TOTAL,AMOLADORA 2350W INDUST.	TG1262306,
